Date,sent_wiki_raw,sent_trends_raw,company
2018-01-02,22508.5,28.0,Tesla
2018-01-03,25803.5,28.0,Tesla
2018-01-04,22384.0,28.0,Tesla
2018-01-05,26803.5,28.0,Tesla
2018-01-08,24237.0,27.5,Tesla
2018-01-09,23233.5,27.5,Tesla
2018-01-10,22555.5,27.5,Tesla
2018-01-11,19886.5,27.5,Tesla
2018-01-12,20899.0,27.5,Tesla
2018-01-16,18367.5,26.0,Tesla
2018-01-17,18146.5,26.0,Tesla
2018-01-18,18348.5,26.0,Tesla
2018-01-19,16718.0,26.0,Tesla
2018-01-22,16717.5,28.0,Tesla
2018-01-23,28376.0,28.0,Tesla
2018-01-24,28889.0,28.0,Tesla
2018-01-25,21490.5,28.0,Tesla
2018-01-26,19372.0,28.0,Tesla
2018-01-29,32756.5,35.0,Tesla
2018-01-30,43680.5,35.0,Tesla
2018-01-31,28927.0,35.0,Tesla
2018-02-01,29437.5,35.0,Tesla
2018-02-02,27687.0,35.0,Tesla
2018-02-05,26531.5,81.5,Tesla
2018-02-06,162375.0,81.5,Tesla
2018-02-07,399610.0,81.5,Tesla
2018-02-08,216139.5,81.5,Tesla
2018-02-09,129980.0,81.5,Tesla
2018-02-12,97780.0,42.5,Tesla
2018-02-13,69208.0,42.5,Tesla
2018-02-14,50877.0,42.5,Tesla
2018-02-15,43038.0,42.5,Tesla
2018-02-16,38391.5,42.5,Tesla
2018-02-20,33079.0,33.0,Tesla
2018-02-21,33136.5,33.0,Tesla
2018-02-22,31585.5,33.0,Tesla
2018-02-23,31498.0,33.0,Tesla
2018-02-26,26682.0,27.0,Tesla
2018-02-27,24485.5,27.0,Tesla
2018-02-28,23012.5,27.0,Tesla
2018-03-01,21562.0,27.0,Tesla
2018-03-02,21597.0,27.0,Tesla
2018-03-05,19923.5,26.5,Tesla
2018-03-06,21894.5,26.5,Tesla
2018-03-07,21269.0,26.5,Tesla
2018-03-08,22418.0,26.5,Tesla
2018-03-09,22690.5,26.5,Tesla
2018-03-12,53007.0,29.5,Tesla
2018-03-13,30910.0,29.5,Tesla
2018-03-14,31481.5,29.5,Tesla
2018-03-15,28823.5,29.5,Tesla
2018-03-16,25010.5,29.5,Tesla
2018-03-19,24178.0,28.0,Tesla
2018-03-20,24920.5,28.0,Tesla
2018-03-21,27518.5,28.0,Tesla
2018-03-22,26712.5,28.0,Tesla
2018-03-23,29739.5,28.0,Tesla
2018-03-26,39828.5,37.0,Tesla
2018-03-27,26278.5,37.0,Tesla
2018-03-28,21775.0,37.0,Tesla
2018-03-29,22791.0,37.0,Tesla
2018-04-02,28145.5,36.0,Tesla
2018-04-03,25920.5,36.0,Tesla
2018-04-04,21194.5,36.0,Tesla
2018-04-05,21318.0,36.0,Tesla
2018-04-06,17976.5,36.0,Tesla
2018-04-09,20502.5,28.0,Tesla
2018-04-10,18271.5,28.0,Tesla
2018-04-11,18637.0,28.0,Tesla
2018-04-12,18865.5,28.0,Tesla
2018-04-13,23110.5,28.0,Tesla
2018-04-16,18876.0,29.0,Tesla
2018-04-17,20916.5,29.0,Tesla
2018-04-18,19973.5,29.0,Tesla
2018-04-19,20066.5,29.0,Tesla
2018-04-20,16366.5,29.0,Tesla
2018-04-23,18883.0,26.0,Tesla
2018-04-24,15830.0,26.0,Tesla
2018-04-25,15725.0,26.0,Tesla
2018-04-26,16181.0,26.0,Tesla
2018-04-27,14443.0,26.0,Tesla
2018-04-30,17094.0,33.5,Tesla
2018-05-01,15225.0,33.5,Tesla
2018-05-02,17892.0,33.5,Tesla
2018-05-03,30907.0,33.5,Tesla
2018-05-04,23150.0,33.5,Tesla
2018-05-07,26739.5,45.0,Tesla
2018-05-08,100568.5,45.0,Tesla
2018-05-09,57991.5,45.0,Tesla
2018-05-10,38615.5,45.0,Tesla
2018-05-11,32947.0,45.0,Tesla
2018-05-14,25923.5,33.0,Tesla
2018-05-15,23280.0,33.0,Tesla
2018-05-16,19015.5,33.0,Tesla
2018-05-17,17727.0,33.0,Tesla
2018-05-18,20922.0,33.0,Tesla
2018-05-21,19698.0,32.0,Tesla
2018-05-22,21602.0,32.0,Tesla
2018-05-23,20550.5,32.0,Tesla
2018-05-24,24502.5,32.0,Tesla
2018-05-25,22069.5,32.0,Tesla
2018-05-29,19663.5,28.5,Tesla
2018-05-30,18535.0,28.5,Tesla
2018-05-31,16022.5,28.5,Tesla
2018-06-01,15349.5,28.5,Tesla
2018-06-04,17624.5,28.0,Tesla
2018-06-05,16367.0,28.0,Tesla
2018-06-06,20764.0,28.0,Tesla
2018-06-07,17740.0,28.0,Tesla
2018-06-08,14409.5,28.0,Tesla
2018-06-11,16423.0,31.0,Tesla
2018-06-12,18710.0,31.0,Tesla
2018-06-13,18033.0,31.0,Tesla
2018-06-14,19347.5,31.0,Tesla
2018-06-15,18468.0,31.0,Tesla
2018-06-18,16431.5,30.5,Tesla
2018-06-19,20339.5,30.5,Tesla
2018-06-20,15349.0,30.5,Tesla
2018-06-21,14227.5,30.5,Tesla
2018-06-22,14279.0,30.5,Tesla
2018-06-25,13029.5,30.0,Tesla
2018-06-26,13398.0,30.0,Tesla
2018-06-27,22712.5,30.0,Tesla
